city,alt_name,state,median_yearly_income,median_monthly_income,rent,latitude,longitude
santafe,Santa Fe/Taos,NM,44968,3747,1124,34.4098107,-119.6970239
santamaria,"Santa Maria, CA",CA,61489,5124,1537,35.6824934,-105.983036
sarasota,Sarasota-Bradenton,FL,47212,3934,1180,34.9323106,-120.4313649
savannah,Savannah/Hinesville,GA,49342,4111,1233,27.3364347,-82.5306527
scottsbluff,Scottsbluff/Panhandle,IA,52716,4393,1317,32.0835407,-81.0998342
scranton,Scranton/Wilkes-Barre,PA,53115,4426,1327,41.8555787,-103.7088303
sd,South Dakota,SD,50338,4194,1258,41.4086874,-75.6621294
seattle,Seattle-Tacoma,WA,60294,5024,1507,44.6471761,-100.348761
seks,Southeast KS,KS,51872,4322,1296,47.6038321,-122.3300624
semo,Southeast Missouri,MO,47764,3980,1194,38.27312,-98.5821872
sfbay,SF Bay Area,CA,61489,5124,1537,40.1648716,-92.1654073
sheboygan,"Sheboygan, WI",WI,52738,4394,1318,37.7884969,-122.3558473
shoals,Florence/Muscle Shoals,AL,43511,3625,1087,43.7508284,-87.71453
showlow,"Show Low, AZ",AZ,49928,4160,1248,38.6664402,-86.7911096
shreveport,"Shreveport, LA",LA,44991,3749,1124,35.1953731,-106.739205
sierravista,"Sierra Vista, AZ",AZ,49928,4160,1248,32.4828485,-93.82848316
siouxcity,"Sioux City, IA",IA,52716,4393,1317,31.5608265,-110.310327
siouxfalls,Sioux Falls/SE SD,SD,50338,4194,1258,42.4966815,-96.4058782
siskiyou,Siskiyou County,CA,61489,5124,1537,43.5499749,-96.700327
skagit,Skagit/Island/SJI,WA,60294,5024,1507,41.6472886,-122.5225194
slo,San Luis Obispo,CA,61489,5124,1537,48.4596092,-121.7332784
smd,Southern Maryland,MD,74149,6179,1853,35.2827525,-120.6596156
southbend,South Bend/Michiana,IN,48737,4061,1218,30.5236116,-91.1946063
southcoast,"South Coast, MA",MA,67846,5653,1695,41.6833813,-86.2500066
southjersey,South Jersey,NJ,72062,6005,1801,33.7020434,-117.8813037
spacecoast,"Space Coast, FL",FL,47212,3934,1180,40.7000015,-74.1675083
spokane,Spokane/Coeur D'alene,WA,60294,5024,1507,28.25711745,-80.73958715
springfield,"Springfield, MO",MO,47764,3980,1194,47.6588603,-117.4247134
springfieldil,"Springfield, IL",IL,57166,4763,1428,39.7989763,-89.6443688
statesboro,"Statesboro, GA",GA,49342,4111,1233,39.7989763,-89.6443688
staugustine,"St Augustine, FL",FL,47212,3934,1180,32.4487877,-81.7831674
stcloud,"St Cloud, MN",MN,60828,5069,1520,29.894691,-81.314517
stgeorge,"St George, UT",UT,59846,4987,1496,45.5616075,-94.1642004
stillwater,"Stillwater, OK",OK,46235,3852,1155,37.104153,-113.5841313
stjoseph,St Joseph,MO,47764,3980,1194,36.1156306,-97.0585717
stlouis,"St Louis, MO",MO,47764,3980,1194,39.7686055,-94.8466322
stockton,"Stockton, CA",CA,61489,5124,1537,38.6272733,-90.1978889
susanville,"Susanville, CA",CA,61489,5124,1537,37.9577016,-121.2907796
swks,Southwest KS,KS,51872,4322,1296,40.4162842,-120.6530063
swmi,Southwest Michigan,MI,49087,4090,1227,37.1850331,-100.8928434
swv,Southern WV,WV,41576,3464,1039,43.6211955,-84.6824346
swva,Southwest VA,VA,64792,5399,1619,38.8682396,-77.0254463
syracuse,"Syracuse, NY",NY,58687,4890,1467,38.8682396,-77.0254463
tallahassee,Tallahassee,FL,47212,3934,1180,43.0481221,-76.1474244
tampa,Tampa Bay Area,FL,47212,3934,1180,30.4380832,-84.2809332
terrehaute,"Terre Haute, IN",IN,48737,4061,1218,27.9477595,-82.458444
texarkana,Texarkana,TX,52576,4381,1314,39.4667025,-87.4139119
texoma,Texoma,OK,46235,3852,1155,33.425125,-94.0476882
thumb,"The Thumb, MI",MI,49087,4090,1227,32.962456,-96.3343279
tippecanoe,Lafayette/West Lafayette,IN,48737,4061,1218,35.7194336,-113.3554881
toledo,"Toledo, OH",OH,48849,4070,1221,40.3916066,-86.8879689
topeka,"Topeka, KS",KS,51872,4322,1296,41.6786754,-83.5127283
treasure,"Treasure Coast, FL",FL,47212,3934,1180,39.0490111,-95.6775557
tricities,"Tri-Cities, TN",TN,44621,3718,1115,46.1833795,-107.2625484
tucson,"Tucson, AZ",AZ,49928,4160,1248,46.2431373,-119.2137797
tulsa,"Tulsa, OK",OK,46235,3852,1155,32.2217422,-110.9264759
tuscaloosa,Tuscaloosa,AL,43511,3625,1087,36.1556805,-95.9929113
tuscarawas,Tuscarawas Co,CO,59448,4954,1486,33.2668398,-87.4862182
twinfalls,"Twin Falls, ID",ID,47334,3944,1183,40.3759469,-81.464888
twintiers,Twin Tiers NY/PA,PA,53115,4426,1327,33.0406024,-96.7862355
up,"Upper Peninsula, MI",MI,49087,4090,1227,41.254,-78.443
utica,Utica-Rome-Oneida,NY,58687,4890,1467,46.2949,-84.2044
valdosta,"Valdosta, GA",GA,49342,4111,1233,43.1009031,-75.2326641
ventura,Ventura County,CA,61489,5124,1537,30.8327022,-83.2784851
vermont,Vermont,VT,54447,4537,1361,34.364744,-119.3105822
victoriatx,"Victoria, TX",TX,52576,4381,1314,28.8297135,-96.97253692
visalia,Visalia-Tulare,CA,61489,5124,1537,36.3302284,-119.2920585
waco,"Waco, TX",TX,52576,4381,1314,31.549333,-97.1466695
washingtondc,"Washington, DC",DC,69235,5769,1730,38.8949549,-77.0366456
waterloo,Waterloo/Cedar Falls,IA,52716,4393,1317,43.4655524,-80.5217786
watertown,"Watertown, NY",NY,58687,4890,1467,42.3709299,-71.1828321
wausau,"Wausau, WI",WI,52738,4394,1318,44.9596017,-89.6298239
wenatchee,"Wenatchee, WA",WA,60294,5024,1507,47.4234599,-120.3103494
westernmass,Western Massachusetts,MA,67846,5653,1695,42.6084287,-70.6731
westky,Western KY,KY,43342,3611,1083,38.5128748,-90.4428685
westmd,Western Maryland,MD,74149,6179,1853,39.6457528,-77.7556658
westslope,Western Slope,CO,59448,4954,1486,48.358645,-123.6067868
wheeling,Northern Panhandle,WV,41576,3464,1039,42.125144,-87.92930515
wichita,"Wichita, KS",KS,51872,4322,1296,37.6922361,-97.3375448
wichitafalls,"Wichita Falls, TX",TX,52576,4381,1314,33.9137085,-98.4933873
williamsport,"Williamsport, PA",PA,53115,4426,1327,41.2493292,-77.0027671
wilmington,"Wilmington, NC",NC,46693,3891,1167,39.7459468,-75.546589
winchester,"Winchester, VA",VA,64792,5399,1619,39.1857762,-78.1631434
winstonsalem,"Winston-Salem, NC",NC,46693,3891,1167,36.0998167,-80.2441445
worcester,Worcester/Central MA,MA,67846,5653,1695,42.2754349,-71.808442
wv,West Virginia (old),WV,41576,3464,1039,38.4758406,-80.8408415
wyoming,Wyoming,WY,58252,4854,1456,43.1700264,-107.5685348
yakima,"Yakima, WA",WA,60294,5024,1507,46.601557,-120.5108421
york,"York, PA",PA,53115,4426,1327,39.9669456,-76.7308895
youngstown,"Youngstown, OH",OH,48849,4070,1221,41.0997803,-80.6495194
yubasutter,"Yuba-Sutter, CA",CA,61489,5124,1537,39.1598915,-121.7527482
yuma,"Yuma, AZ",AZ,49928,4160,1248,32.665167,-114.4759049
zanesville,Zanesville/Cambridge,OH,48849,4070,1221,39.9403453,-82.0131924
